0,1,0,0.1,0.1,0.1,0.1,0.1
1,2,1,0.1,0.1,0.1,0.1,0.1
2,3,2,0.1,0.1,0.1,0.1,0.1
3,4,3,0.1,0.1,0.1,0.1,0.1
4,5,4,0.1,0.1,0.1,0.1,0.1
5,6,5,0.1,0.1,0.1,0.1,0.1
6,7,6,0.1,0.1,0.1,0.1,0.1
7,8,7,0.1,0.1,0.1,0.1,0.1
8,9,8,0.1,0.1,0.1,0.1,0.1
9,10,9,0.1,0.1,0.1,0.1,0.1
10,11,10,0.1,0.1,0.1,0.1,0.1
11,12,11,0.1,0.1,0.1,0.1,0.1
12,13,12,0.1,0.1,0.1,0.1,0.1
13,14,13,0.1,0.1,0.1,0.1,0.1
14,15,14,0.1,0.1,0.1,0.1,0.1
15,16,15,0.1,0.1,0.1,0.1,0.1
16,17,16,0.1,0.1,0.1,0.1,0.1
17,18,17,0.1,0.1,0.1,0.1,0.1
18,19,18,0.1,0.1,0.1,0.1,0.1
19,20,19,0.1,0.1,0.1,0.1,0.1
20,21,20,0.1,0.1,0.1,0.1,0.1
21,22,21,0.1,0.1,0.1,0.1,0.1
22,23,22,0.1,0.1,0.1,0.1,0.1
23,24,23,0.1,0.1,0.1,0.1,0.1
24,25,24,0.1,0.1,0.1,0.1,0.1
25,26,25,0.1,0.1,0.1,0.1,0.1
26,27,26,0.1,0.1,0.1,0.1,0.1
27,28,27,0.1,0.1,0.1,0.1,0.1
28,29,28,0.1,0.1,0.1,0.1,0.1
29,30,29,0.1,0.1,0.1,0.1,0.1
30,31,30,0.1,0.1,0.1,0.1,0.1
31,32,31,0.1,0.1,0.1,0.1,0.1
32,33,32,0.1,0.1,0.1,0.1,0.1
33,34,33,0.1,0.1,0.1,0.1,0.1
34,35,34,0.1,0.1,0.1,0.1,0.1
35,36,35,0.1,0.1,0.1,0.1,0.1
36,37,36,0.1,0.1,0.1,0.1,0.1
37,38,37,0.1,0.1,0.1,0.1,0.1
38,39,38,0.1,0.1,0.1,0.1,0.1
39,40,39,0.1,0.1,0.1,0.1,0.1
40,41,40,0.1,0.1,0.1,0.1,0.1
41,42,41,0.1,0.1,0.1,0.1,0.1
42,43,42,0.1,0.1,0.1,0.1,0.1
43,44,43,0.1,0.1,0.1,0.1,0.1
44,45,44,0.1,0.1,0.1,0.1,0.1
45,46,45,0.1,0.1,0.1,0.1,0.1
46,47,46,0.1,0.1,0.1,0.1,0.1
47,48,47,0.1,0.1,0.1,0.1,0.1
48,49,48,0.1,0.1,0.1,0.1,0.1
49,50,49,0.1,0.1,0.1,0.1,0.1
50,51,50,0.1,0.1,0.1,0.1,0.1
51,52,51,0.1,0.1,0.1,0.1,0.1
52,53,52,0.1,0.1,0.1,0.1,0.1
53,54,53,0.1,0.1,0.1,0.1,0.1
54,55,54,0.1,0.1,0.1,0.1,0.1
55,56,55,0.1,0.1,0.1,0.1,0.1
56,57,56,0.1,0.1,0.1,0.1,0.1
57,58,57,0.1,0.1,0.1,0.1,0.1
58,59,58,0.1,0.1,0.1,0.1,0.1
59,60,59,0.1,0.1,0.1,0.1,0.1
60,61,60,0.1,0.1,0.1,0.1,0.1
61,62,61,0.1,0.1,0.1,0.1,0.1
62,63,62,0.1,0.1,0.1,0.1,0.1
63,64,63,0.1,0.1,0.1,0.1,0.1
64,65,64,0.1,0.1,0.1,0.1,0.1
65,66,65,0.1,0.1,0.1,0.1,0.1
66,67,66,0.1,0.1,0.1,0.1,0.1
67,68,67,0.1,0.1,0.1,0.1,0.1
68,69,68,0.1,0.1,0.1,0.1,0.1
69,70,69,0.1,0.1,0.1,0.1,0.1
70,71,70,0.1,0.1,0.1,0.1,0.1
71,72,71,0.1,0.1,0.1,0.1,0.1
72,73,72,0.1,0.1,0.1,0.1,0.1
73,74,73,0.1,0.1,0.1,0.1,0.1
74,75,74,0.1,0.1,0.1,0.1,0.1
75,76,75,0.1,0.1,0.1,0.1,0.1
76,77,76,0.1,0.1,0.1,0.1,0.1
77,78,77,0.1,0.1,0.1,0.1,0.1
78,79,78,0.1,0.1,0.1,0.1,0.1
79,80,79,0.1,0.1,0.1,0.1,0.1
80,81,80,0.1,0.1,0.1,0.1,0.1
81,82,81,0.1,0.1,0.1,0.1,0.1
82,83,82,0.1,0.1,0.1,0.1,0.1
83,84,83,0.1,0.1,0.1,0.1,0.1
84,85,84,0.1,0.1,0.1,0.1,0.1
85,86,85,0.1,0.1,0.1,0.1,0.1
86,87,86,0.1,0.1,0.1,0.1,0.1
87,88,87,0.1,0.1,0.1,0.1,0.1
88,89,88,0.1,0.1,0.1,0.1,0.1
89,90,89,0.1,0.1,0.1,0.1,0.1
90,91,90,0.1,0.1,0.1,0.1,0.1
91,92,91,0.1,0.1,0.1,0.1,0.1
92,93,92,0.1,0.1,0.1,0.1,0.1
93,94,93,0.1,0.1,0.1,0.1,0.1
94,95,94,0.1,0.1,0.1,0.1,0.1
95,96,95,0.1,0.1,0.1,0.1,0.1
96,97,96,0.1,0.1,0.1,0.1,0.1
97,98,97,0.1,0.1,0.1,0.1,0.1
98,99,98,0.1,0.1,0.1,0.1,0.1
99,100,99,0.1,0.1,0.1,0.1,0.1
100,101,100,0.1,0.1,0.1,0.1,0.1
101,102,101,0.1,0.1,0.1,0.1,0.1
102,103,102,0.1,0.1,0.1,0.1,0.1
103,104,103,0.1,0.1,0.1,0.1,0.1
104,105,104,0.1,0.1,0.1,0.1,0.1
105,106,105,0.1,0.1,0.1,0.1,0.1
106,107,106,0.1,0.1,0.1,0.1,0.1
107,108,107,0.1,0.1,0.1,0.1,0.1
108,109,108,0.1,0.1,0.1,0.1,0.1
109,110,109,0.1,0.1,0.1,0.1,0.1
110,111,110,0.1,0.1,0.1,0.1,0.1
111,112,111,0.1,0.1,0.1,0.1,0.1
112,113,112,0.1,0.1,0.1,0.1,0.1
113,114,113,0.1,0.1,0.1,0.1,0.1
114,115,114,0.1,0.1,0.1,0.1,0.1
115,116,115,0.1,0.1,0.1,0.1,0.1
116,117,116,0.1,0.1,0.1,0.1,0.1
117,118,117,0.1,0.1,0.1,0.1,0.1
118,119,118,0.1,0.1,0.1,0.1,0.1
119,120,119,0.1,0.1,0.1,0.1,0.1
120,121,120,0.1,0.1,0.1,0.1,0.1
121,122,121,0.1,0.1,0.1,0.1,0.1
122,123,122,0.1,0.1,0.1,0.1,0.1
123,124,123,0.1,0.1,0.1,0.1,0.1
124,125,124,0.1,0.1,0.1,0.1,0.1
125,126,125,0.1,0.1,0.1,0.1,0.1
126,127,126,0.1,0.1,0.1,0.1,0.1
127,128,127,0.1,0.1,0.1,0.1,0.1
128,129,128,0.1,0.1,0.1,0.1,0.1
129,130,129,0.1,0.1,0.1,0.1,0.1
130,131,130,0.1,0.1,0.1,0.1,0.1
131,132,131,0.1,0.1,0.1,0.1,0.1
132,133,132,0.1,0.1,0.1,0.1,0.1
133,134,133,0.1,0.1,0.1,0.1,0.1
134,135,134,0.1,0.1,0.1,0.1,0.1
135,136,135,0.1,0.1,0.1,0.1,0.1
136,137,136,0.1,0.1,0.1,0.1,0.1
137,138,137,0.1,0.1,0.1,0.1,0.1
138,139,138,0.1,0.1,0.1,0.1,0.1
139,140,139,0.1,0.1,0.1,0.1,0.1
140,141,140,0.1,0.1,0.1,0.1,0.1
141,142,141,0.1,0.1,0.1,0.1,0.1
142,143,142,0.1,0.1,0.1,0.1,0.1
143,144,143,0.1,0.1,0.1,0.1,0.1
144,145,144,0.1,0.1,0.1,0.1,0.1
145,146,145,0.1,0.1,0.1,0.1,0.1
146,147,146,0.1,0.1,0.1,0.1,0.1
147,148,147,0.1,0.1,0.1,0.1,0.1
148,149,148,0.1,0.1,0.1,0.1,0.1
149,150,149,0.1,0.1,0.1,0.1,0.1
150,151,150,0.1,0.1,0.1,0.1,0.1
151,152,151,0.1,0.1,0.1,0.1,0.1
152,153,152,0.1,0.1,0.1,0.1,0.1
153,154,153,0.1,0.1,0.1,0.1,0.1
154,155,154,0.1,0.1,0.1,0.1,0.1
155,156,155,0.1,0.1,0.1,0.1,0.1
156,157,156,0.1,0.1,0.1,0.1,0.1
157,158,157,0.1,0.1,0.1,0.1,0.1
158,159,158,0.1,0.1,0.1,0.1,0.1
159,160,159,0.1,0.1,0.1,0.1,0.1
160,161,160,0.1,0.1,0.1,0.1,0.1
161,162,161,0.1,0.1,0.1,0.1,0.1
162,163,162,0.1,0.1,0.1,0.1,0.1
163,164,163,0.1,0.1,0.1,0.1,0.1
164,165,164,0.1,0.1,0.1,0.1,0.1
165,166,165,0.1,0.1,0.1,0.1,0.1
166,167,166,0.1,0.1,0.1,0.1,0.1
167,168,167,0.1,0.1,0.1,0.1,0.1
168,169,168,0.1,0.1,0.1,0.1,0.1
169,170,169,0.1,0.1,0.1,0.1,0.1
170,171,170,0.1,0.1,0.1,0.1,0.1
171,172,171,0.1,0.1,0.1,0.1,0.1
172,173,172,0.1,0.1,0.1,0.1,0.1
173,174,173,0.1,0.1,0.1,0.1,0.1
174,175,174,0.1,0.1,0.1,0.1,0.1
175,176,175,0.1,0.1,0.1,0.1,0.1
176,177,176,0.1,0.1,0.1,0.1,0.1
177,178,177,0.1,0.1,0.1,0.1,0.1
178,179,178,0.1,0.1,0.1,0.1,0.1
179,180,179,0.1,0.1,0.1,0.1,0.1
180,181,180,0.1,0.1,0.1,0.1,0.1
181,182,181,0.1,0.1,0.1,0.1,0.1
182,183,182,0.1,0.1,0.1,0.1,0.1
183,184,183,0.1,0.1,0.1,0.1,0.1
184,185,184,0.1,0.1,0.1,0.1,0.1
185,186,185,0.1,0.1,0.1,0.1,0.1
186,187,186,0.1,0.1,0.1,0.1,0.1
187,188,187,0.1,0.1,0.1,0.1,0.1
188,189,188,0.1,0.1,0.1,0.1,0.1
189,190,189,0.1,0.1,0.1,0.1,0.1
190,191,190,0.1,0.1,0.1,0.1,0.1
191,192,191,0.1,0.1,0.1,0.1,0.1
192,193,192,0.1,0.1,0.1,0.1,0.1
193,194,193,0.1,0.1,0.1,0.1,0.1
194,195,194,0.1,0.1,0.1,0.1,0.1
195,196,195,0.1,0.1,0.1,0.1,0.1
196,197,196,0.1,0.1,0.1,0.1,0.1
197,198,197,0.1,0.1,0.1,0.1,0.1
198,199,198,0.1,0.1,0.1,0.1,0.1
199,200,199,0.1,0.1,0.1,0.1,0.1
200,201,200,0.1,0.1,0.1,0.1,0.1
201,202,201,0.1,0.1,0.1,0.1,0.1
202,203,202,0.1,0.1,0.1,0.1,0.1
203,204,203,0.1,0.1,0.1,0.1,0.1
204,205,204,0.1,0.1,0.1,0.1,0.1
205,206,205,0.1,0.1,0.1,0.1,0.1
206,207,206,0.1,0.1,0.1,0.1,0.1
207,208,207,0.1,0.1,0.1,0.1,0.1
208,209,208,0.1,0.1,0.1,0.1,0.1
209,210,209,0.1,0.1,0.1,0.1,0.1
210,211,210,0.1,0.1,0.1,0.1,0.1
211,212,211,0.1,0.1,0.1,0.1,0.1
212,213,212,0.1,0.1,0.1,0.1,0.1
213,214,213,0.1,0.1,0.1,0.1,0.1
214,215,214,0.1,0.1,0.1,0.1,0.1
215,216,215,0.1,0.1,0.1,0.1,0.1
216,217,216,0.1,0.1,0.1,0.1,0.1
217,218,217,0.1,0.1,0.1,0.1,0.1
218,219,218,0.1,0.1,0.1,0.1,0.1
219,220,219,0.1,0.1,0.1,0.1,0.1
220,221,220,0.1,0.1,0.1,0.1,0.1
221,222,221,0.1,0.1,0.1,0.1,0.1
222,223,222,0.1,0.1,0.1,0.1,0.1
223,224,223,0.1,0.1,0.1,0.1,0.1
224,225,224,0.1,0.1,0.1,0.1,0.1
225,226,225,0.1,0.1,0.1,0.1,0.1
226,227,226,0.1,0.1,0.1,0.1,0.1
227,228,227,0.1,0.1,0.1,0.1,0.1
228,229,228,0.1,0.1,0.1,0.1,0.1
229,230,229,0.1,0.1,0.1,0.1,0.1
230,231,230,0.1,0.1,0.1,0.1,0.1
231,232,231,0.1,0.1,0.1,0.1,0.1
232,233,232,0.1,0.1,0.1,0.1,0.1
233,234,233,0.1,0.1,0.1,0.1,0.1
234,235,234,0.1,0.1,0.1,0.1,0.1
235,236,235,0.1,0.1,0.1,0.1,0.1
236,237,236,0.1,0.1,0.1,0.1,0.1
237,238,237,0.1,0.1,0.1,0.1,0.1
238,239,238,0.1,0.1,0.1,0.1,0.1
239,240,239,0.1,0.1,0.1,0.1,0.1
240,241,240,0.1,0.1,0.1,0.1,0.1
241,242,241,0.1,0.1,0.1,0.1,0.1
242,243,242,0.1,0.1,0.1,0.1,0.1
243,244,243,0.1,0.1,0.1,0.1,0.1
244,245,244,0.1,0.1,0.1,0.1,0.1
245,246,245,0.1,0.1,0.1,0.1,0.1
246,247,246,0.1,0.1,0.1,0.1,0.1
247,248,247,0.1,0.1,0.1,0.1,0.1
248,249,248,0.1,0.1,0.1,0.1,0.1
249,250,249,0.1,0.1,0.1,0.1,0.1
250,251,250,0.1,0.1,0.1,0.1,0.1
251,252,251,0.1,0.1,0.1,0.1,0.1
252,253,252,0.1,0.1,0.1,0.1,0.1
253,254,253,0.1,0.1,0.1,0.1,0.1
254,255,254,0.1,0.1,0.1,0.1,0.1
255,256,255,0.1,0.1,0.1,0.1,0.1
256,257,256,0.1,0.1,0.1,0.1,0.1
257,258,257,0.1,0.1,0.1,0.1,0.1
258,259,258,0.1,0.1,0.1,0.1,0.1
259,260,259,0.1,0.1,0.1,0.1,0.1
260,261,260,0.1,0.1,0.1,0.1,0.1
261,262,261,0.1,0.1,0.1,0.1,0.1
